Fecha_Reporte,Hora_Reporte,Distrito,Tipo_Delito,Latitud,Longitud,Tiempo_Respuesta_Min,Uso_Arma,Captura,Rango_Horario
2026-02-25,20:55,Independencia,Hurto simple,-11.819,-76.9592,20.4,TRUE,TRUE,Noche
2026-04-09,03:37,Independencia,Robo de vehiculo,-11.9493,-76.9896,27.8,FALSE,FALSE,Madrugada
2026-04-29,05:22,Comas,Robo de vehiculo,-11.9415,-76.9983,13.6,FALSE,TRUE,Madrugada
2026-03-28,03:16,Independencia,Vandalismo,-11.9294,-77.0863,29.0,FALSE,FALSE,Madrugada
2026-02-02,10:00,Santa Rosa,Vandalismo,-11.9417,-77.0375,14.0,TRUE,FALSE,Manana
2026-02-25,17:04,Comas,Vandalismo,-11.8023,-76.9051,24.3,FALSE,TRUE,Tarde
2026-01-16,20:03,Santa Rosa,Arrebato,-11.971,-76.9397,19.0,TRUE,TRUE,Noche
2026-01-29,12:01,Ancon,Vandalismo,-11.9803,-76.9694,22.9,TRUE,FALSE,Tarde
2026-01-01,21:29,San Martin de Porres,Extorsion,-11.889,-77.0446,27.3,TRUE,TRUE,Noche
2026-03-03,02:36,Comas,Arrebato,-11.8116,-76.9127,28.6,FALSE,TRUE,Madrugada
2026-04-01,12:18,Comas,Extorsion,-11.9403,-77.0815,17.5,FALSE,FALSE,Tarde
2026-04-01,12:44,Santa Rosa,Robo a mano armada,-11.893,-76.9916,27.7,TRUE,FALSE,Tarde
2026-01-03,23:59,Santa Rosa,Robo de vehiculo,-11.9267,-76.9922,9.4,FALSE,TRUE,Noche
2026-01-07,01:18,Puente Piedra,Arrebato,-11.9835,-77.0927,23.1,FALSE,TRUE,Madrugada
2026-02-13,00:21,Puente Piedra,Robo a mano armada,-11.9134,-76.9399,5.4,TRUE,TRUE,Madrugada
2026-01-21,20:34,San Martin de Porres,Robo a mano armada,-11.9476,-76.9326,29.3,TRUE,FALSE,Noche
2026-01-01,08:19,Los Olivos,Extorsion,-11.8598,-76.9461,26.7,FALSE,FALSE,Manana
2026-03-20,20:58,Los Olivos,Extorsion,-11.9712,-77.0628,8.9,TRUE,FALSE,Noche
2026-03-15,22:31,Los Olivos,Hurto simple,-11.8056,-76.956,13.8,TRUE,FALSE,Noche
2026-02-01,13:44,Comas,Robo de vehiculo,-11.8657,-77.0045,28.8,FALSE,TRUE,Tarde
2026-04-13,23:17,Comas,Arrebato,-11.8205,-76.9157,16.2,FALSE,TRUE,Noche
2026-04-17,01:12,Ancon,Hurto simple,-11.9191,-76.9168,29.0,FALSE,FALSE,Madrugada
2026-02-17,09:48,Comas,Robo a mano armada,-11.8983,-76.9707,26.0,TRUE,TRUE,Manana
2026-01-21,21:39,Carabayllo,Extorsion,-11.8295,-76.9215,26.7,TRUE,FALSE,Noche
2026-03-05,01:54,Santa Rosa,Extorsion,-11.9085,-77.0099,20.1,TRUE,FALSE,Madrugada
2026-04-26,10:26,Puente Piedra,Arrebato,-11.8891,-77.0076,9.4,FALSE,FALSE,Manana
2026-03-15,17:46,Santa Rosa,Vandalismo,-11.9991,-77.0815,17.2,TRUE,FALSE,Tarde
2026-02-18,15:26,Santa Rosa,Hurto simple,-11.8314,-77.0173,5.6,TRUE,FALSE,Tarde
2026-04-27,07:34,Santa Rosa,Robo a mano armada,-11.9309,-77.0503,15.6,TRUE,FALSE,Manana
2026-03-01,01:34,Los Olivos,Robo de vehiculo,-11.8827,-77.06,13.0,FALSE,FALSE,Madrugada
2026-04-06,14:12,Comas,Robo de vehiculo,-11.856,-76.9114,17.1,TRUE,FALSE,Tarde
2026-04-01,21:50,Santa Rosa,Hurto simple,-11.983,-76.9402,24.7,TRUE,TRUE,Noche
2026-01-16,23:09,Los Olivos,Arrebato,-11.852,-76.9055,16.9,TRUE,FALSE,Noche
2026-03-28,21:37,Comas,Robo de vehiculo,-11.8555,-76.9158,20.5,FALSE,TRUE,Noche
2026-04-21,07:44,Carabayllo,Hurto simple,-11.9627,-76.9229,28.6,TRUE,TRUE,Manana
2026-03-05,17:52,Los Olivos,Arrebato,-11.8971,-76.9101,26.1,TRUE,TRUE,Tarde
2026-01-09,22:17,Independencia,Vandalismo,-11.8486,-76.9316,24.8,TRUE,FALSE,Noche
2026-03-17,15:55,Los Olivos,Robo de vehiculo,-11.8007,-77.0605,23.2,TRUE,FALSE,Tarde
2026-01-07,04:24,San Martin de Porres,Arrebato,-11.982,-76.9158,17.7,FALSE,FALSE,Madrugada
2026-04-07,04:10,Independencia,Robo de vehiculo,-11.8982,-76.953,14.9,FALSE,FALSE,Madrugada
2026-04-25,23:38,Ancon,Robo de vehiculo,-11.8905,-76.9917,27.6,FALSE,TRUE,Noche
2026-01-20,09:23,Independencia,Arrebato,-11.8301,-76.9879,16.4,FALSE,FALSE,Manana
2026-02-04,22:40,Comas,Robo de vehiculo,-11.8942,-76.9179,25.6,FALSE,FALSE,Noche
2026-04-29,02:18,San Martin de Porres,Vandalismo,-11.8694,-77.0577,9.2,FALSE,FALSE,Madrugada
2026-03-15,06:21,San Martin de Porres,Arrebato,-11.8553,-76.9071,22.4,TRUE,FALSE,Manana
2026-03-06,21:46,Los Olivos,Robo de vehiculo,-11.8697,-76.985,5.4,FALSE,FALSE,Noche
2026-03-02,00:27,Carabayllo,Vandalismo,-11.9762,-76.9948,20.4,TRUE,FALSE,Madrugada
2026-01-02,12:54,Santa Rosa,Arrebato,-11.8957,-76.9766,22.2,FALSE,TRUE,Tarde
2026-03-04,05:10,Ancon,Robo a mano armada,-11.8486,-76.9656,21.6,TRUE,FALSE,Madrugada
2026-03-29,16:09,Los Olivos,Arrebato,-11.8735,-76.9516,9.9,FALSE,FALSE,Tarde
2026-01-17,09:28,Los Olivos,Robo a mano armada,-11.8637,-76.9386,22.8,TRUE,TRUE,Manana
2026-03-14,22:38,Comas,Extorsion,-11.8417,-77.0374,28.9,FALSE,TRUE,Noche
2026-02-16,11:54,Ancon,Robo a mano armada,-11.8821,-76.9126,19.6,TRUE,FALSE,Manana
2026-01-07,15:21,Ancon,Robo de vehiculo,-11.8405,-76.9899,27.6,TRUE,FALSE,Tarde
2026-02-18,06:18,Santa Rosa,Arrebato,-11.9648,-76.9774,9.6,TRUE,FALSE,Manana
2026-04-21,12:52,Los Olivos,Extorsion,-11.9837,-76.9905,18.3,FALSE,FALSE,Tarde
2026-01-15,19:35,Puente Piedra,Robo de vehiculo,-11.8254,-77.0587,24.7,TRUE,TRUE,Noche
2026-01-29,06:04,Carabayllo,Arrebato,-11.9031,-76.9713,25.4,TRUE,TRUE,Manana
2026-02-11,02:43,Comas,Arrebato,-11.9329,-77.0148,14.9,FALSE,FALSE,Madrugada
2026-01-20,07:43,Puente Piedra,Hurto simple,-11.9681,-77.0864,17.9,FALSE,FALSE,Manana
2026-02-28,17:54,Los Olivos,Vandalismo,-11.8899,-76.9056,12.8,FALSE,TRUE,Tarde
2026-02-22,15:14,Los Olivos,Vandalismo,-11.9316,-77.0492,27.8,FALSE,FALSE,Tarde
2026-01-22,19:22,San Martin de Porres,Robo de vehiculo,-11.8557,-77.0857,5.8,FALSE,TRUE,Noche
2026-04-17,01:22,Los Olivos,Arrebato,-11.9347,-76.9671,15.6,TRUE,TRUE,Madrugada
2026-01-18,20:15,Comas,Robo a mano armada,-11.8955,-77.0601,28.8,TRUE,TRUE,Noche
2026-03-16,14:59,Los Olivos,Vandalismo,-11.9533,-76.9191,17.1,FALSE,TRUE,Tarde
2026-02-20,07:18,Carabayllo,Vandalismo,-11.8748,-77.0321,22.3,FALSE,TRUE,Manana
2026-03-05,08:30,Los Olivos,Robo de vehiculo,-11.9801,-77.0781,17.8,TRUE,FALSE,Manana
2026-04-30,17:26,San Martin de Porres,Vandalismo,-11.9673,-76.9418,10.9,FALSE,TRUE,Tarde
2026-03-27,20:44,San Martin de Porres,Hurto simple,-11.9152,-76.9212,11.3,TRUE,FALSE,Noche
2026-03-15,03:44,Los Olivos,Vandalismo,-11.8013,-77.0464,9.0,TRUE,FALSE,Madrugada
2026-04-23,23:05,Comas,Extorsion,-11.8698,-77.0974,27.2,FALSE,TRUE,Noche
2026-01-27,13:57,Los Olivos,Hurto simple,-11.8823,-77.0207,21.0,FALSE,TRUE,Tarde
2026-02-27,11:18,San Martin de Porres,Extorsion,-11.8777,-76.9867,21.1,FALSE,FALSE,Manana
2026-04-19,14:03,Puente Piedra,Vandalismo,-11.9355,-76.9745,6.1,TRUE,TRUE,Tarde
2026-01-10,14:55,Carabayllo,Robo de vehiculo,-11.8454,-77.0197,17.8,FALSE,TRUE,Tarde
2026-03-01,08:17,Ancon,Robo a mano armada,-11.8843,-77.0041,13.6,TRUE,FALSE,Manana
2026-02-15,14:14,Independencia,Robo de vehiculo,-11.9216,-76.953,17.9,FALSE,FALSE,Tarde
2026-03-18,19:06,Los Olivos,Arrebato,-11.8787,-76.948,8.0,FALSE,FALSE,Noche
2026-02-17,17:52,San Martin de Porres,Arrebato,-11.9319,-76.9822,18.2,TRUE,FALSE,Tarde
2026-03-03,21:25,Carabayllo,Extorsion,-11.8896,-77.0158,21.9,FALSE,TRUE,Noche
2026-03-23,09:18,Santa Rosa,Robo a mano armada,-11.9483,-76.9413,20.9,TRUE,TRUE,Manana
2026-01-23,10:38,Independencia,Extorsion,-11.8714,-76.9156,14.3,TRUE,FALSE,Manana
2026-02-09,06:31,Carabayllo,Robo de vehiculo,-11.9783,-77.0263,18.3,FALSE,TRUE,Manana
2026-01-07,07:10,Carabayllo,Arrebato,-11.86,-76.9383,26.7,TRUE,FALSE,Manana
2026-03-13,20:59,San Martin de Porres,Robo de vehiculo,-11.8712,-76.9495,29.5,FALSE,FALSE,Noche
2026-01-05,02:55,Ancon,Robo de vehiculo,-11.9839,-76.9521,29.7,FALSE,FALSE,Madrugada
2026-02-16,11:15,Puente Piedra,Hurto simple,-11.9217,-76.9072,18.5,FALSE,FALSE,Manana
2026-01-08,20:46,Ancon,Extorsion,-11.87,-77.0328,8.9,TRUE,FALSE,Noche
2026-01-23,07:07,Santa Rosa,Vandalismo,-11.9199,-76.9598,14.7,TRUE,FALSE,Manana
2026-02-15,04:35,Santa Rosa,Extorsion,-11.8384,-77.006,18.7,TRUE,FALSE,Madrugada
